"pt","site","latitude","longitude","occ1","occ2","occ3","occ4","obs1","obs2","obs3","obs4","ord1","ord2","ord3","ord4","dtime1","dtime2","dtime3","dtime4","mean2018","max2018","No_trees_mean","No_trees_max","No_wires_mean","No_wires_max","No_SW_mean","No_SW_max","No_SE_mean","No_SE_max","No_N_mean","No_N_max"
"KR57","K",40.54730054,-74.66056891,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",122,144,165,184,9.5,5.9,9.35,6.01666666666667,53.5665512084961,36.2243499755859,64.8696517944336,61.8807525634766,53.5782279968262,36.2243499755859,53.5782241821289,36.2243499755859,53.578239440918,36.2243499755859,64.8483428955078,61.8807525634766
"KR58","K",40.54658261,-74.66151732,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",122,144,165,184,9.63333333333333,5.75,9.46666666666667,5.83333333333333,65.9170455932617,59.9263076782227,66.0232162475586,59.9263076782227,65.9351425170898,59.9263076782227,65.9351272583008,59.9263076782227,65.9351272583008,59.9263076782227,66.0058364868164,59.9263076782227
"KR59","K",40.54802402,-74.66151006,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",122,144,165,184,9.76666666666667,5.61666666666667,9.6,5.68333333333333,54.2208518981934,37.3287467956543,65.0254440307617,54.3334999084473,54.2255973815918,37.3287467956543,54.2256278991699,37.3287467956543,54.225643157959,37.3287467956543,65.0057220458984,54.3334999084473
"KY01","K",40.53648999,-74.66062347,0,0,0,0,"Charles Barreca","Charles Barreca","Charles Barreca","Mike Allen",131,156,171,193,5.7,7.7,5.5,9.8,67.5916519165039,57.5826225280762,67.6167297363281,57.5826225280762,67.6121597290039,57.5826225280762,67.6130981445312,57.5826225280762,67.6155548095703,57.5826225280762,67.5916519165039,57.5826225280762
"KY02","K",40.53720791,-74.6596752,0,0,1,0,"Charles Barreca","Charles Barreca","Charles Barreca","Mike Allen",131,156,171,193,5.83333333333333,9.91666666666667,5.65,9.66666666666667,65.9846649169922,57.1079330444336,66.093635559082,57.1079330444336,66.0033416748047,57.1079330444336,66.0031661987305,57.1079330444336,66.0934143066406,57.1079330444336,65.9846649169922,57.1079330444336
"KY03","K",40.53936724,-74.65871959,0,0,0,0,"Charles Barreca","Charles Barreca","Charles Barreca","Mike Allen",131,156,171,193,6,9.73333333333333,5.83333333333333,9.48333333333333,62.6465606689453,44.6325988769531,63.0604019165039,44.6325988769531,62.7483291625977,44.6325988769531,62.7569808959961,44.6325988769531,63.0492477416992,44.6325988769531,62.6465606689453,44.6325988769531
"KY04","K",40.53864932,-74.6596679,0,0,1,0,"Charles Barreca","Charles Barreca","Charles Barreca","Mike Allen",131,156,171,193,6.13333333333333,9.61666666666667,5.98333333333333,9.35,57.411808013916,36.3832588195801,65.4812240600586,61.0472106933594,57.4299087524414,36.3832588195801,57.4314956665039,36.3832588195801,65.4752044677734,61.0472106933594,57.411808013916,36.3832588195801
"KY05","K",40.5379314,-74.6606162,0,0,1,1,"Charles Barreca","Charles Barreca","Charles Barreca","Mike Allen",131,156,171,193,6.25,9.5,6.11666666666667,9.21666666666667,66.9053802490234,63.8657379150391,67.2369918823242,65.5613784790039,66.9076843261719,63.8657379150391,66.9150085449219,63.8657379150391,67.229606628418,65.5613784790039,66.9053955078125,63.8657379150391
"KY06","K",40.53721346,-74.66156447,1,1,1,1,"Charles Barreca","Charles Barreca","Charles Barreca","Mike Allen",131,156,171,193,6.4,9.33333333333333,6.28333333333333,9.06666666666667,67.0129318237305,65.3318710327148,67.0372543334961,65.3483123779297,67.0087051391602,65.3318710327148,67.0313873291016,65.3323135375977,67.014518737793,65.3478317260742,67.0129318237305,65.3318710327148
"KY07","K",40.53649552,-74.66251273,0,0,1,0,"Charles Barreca","Charles Barreca","Charles Barreca","Mike Allen",131,156,171,193,6.55,9.11666666666667,6.43333333333333,8.93333333333333,65.8550567626953,60.8183822631836,65.9997329711914,61.4687385559082,65.8661422729492,60.8183822631836,65.9975128173828,61.4687385559082,65.8681640625,60.8183822631836,65.8550567626953,60.8183822631836
"KY08","K",40.53721898,-74.66345375,0,0,0,0,"Charles Barreca","Charles Barreca","Charles Barreca","Mike Allen",131,156,171,193,6.68333333333333,8.98333333333333,6.58333333333333,8.8,66.0798034667969,59.3610877990723,66.8552169799805,62.781551361084,66.0893859863281,59.3610877990723,66.8535614013672,62.781551361084,66.0909881591797,59.3610877990723,66.0798034667969,59.3610877990723
"KY09","K",40.53793693,-74.66250549,0,0,0,0,"Charles Barreca","Charles Barreca","Charles Barreca","Mike Allen",131,156,171,193,6.83333333333333,8.83333333333333,6.7,8.68333333333333,65.7473602294922,56.4964065551758,67.5164489746094,65.2648620605469,65.7277221679688,56.4964065551758,67.5073776245117,65.249267578125,65.7362670898438,56.4964065551758,65.7473602294922,56.4964065551758
"KY10","K",40.53865487,-74.66155722,0,1,1,1,"Charles Barreca","Charles Barreca","Charles Barreca","Mike Allen",131,156,171,193,7,8.7,6.88333333333333,8.55,66.5152816772461,61.566089630127,66.999382019043,64.9130020141602,66.5324020385742,61.566089630127,66.8521499633789,62.3125839233398,66.6774597167969,63.0166091918945,66.5152816772461,61.566089630127
"KY11","K",40.5393728,-74.66060892,0,0,0,0,"Charles Barreca","Charles Barreca","Charles Barreca","Mike Allen",131,156,171,193,7.11666666666667,8.55,7.03333333333333,8.4,65.4855194091797,57.1077651977539,66.5976333618164,64.3739624023438,65.5030822753906,57.1077651977539,65.5246887207031,57.1077651977539,66.5759963989258,64.3739624023438,65.4855194091797,57.1077651977539
"KY12","K",40.54009073,-74.65966061,0,0,0,0,"Charles Barreca","Charles Barreca","Charles Barreca","Mike Allen",131,156,171,193,7.26666666666667,8.41666666666667,7.16666666666667,8.28333333333333,66.2791442871094,61.4744987487793,66.4616012573242,61.4744987487793,66.3014602661133,61.4744987487793,66.3131561279297,61.4744987487793,66.4498443603516,61.4744987487793,66.2791442871094,61.4744987487793
